route_id,route_group,vehicle,first_visit_date
R01,NRW Batı / Niederrhein,,
R02,NRW Batı / Niederrhein,,
R03,NRW Batı / Niederrhein,,
R04,NRW Ruhr Batı,,
R05,NRW Ruhr Batı,,
R06,NRW Ruhr Batı,,
R07,Köln-Bonn-Aachen / Rheinland,,
R08,Köln-Bonn-Aachen / Rheinland,,
R09,Köln-Bonn-Aachen / Rheinland,,
R10,NRW Ruhr Doğu,,
R11,NRW Ruhr Doğu,,
R12,NRW Ruhr Doğu,,
R13,NRW Ruhr Doğu,,
R14,Ostwestfalen / Münsterland,,
R15,Ostwestfalen / Münsterland,,
R16,Hessen / Rhein-Main / RLP,,
R17,Hessen / Rhein-Main / RLP,,
R18,Hessen / Rhein-Main / RLP,,
R19,Hessen / Rhein-Main / RLP,,
R20,Hessen / Rhein-Main / RLP,,
R21,Hessen / Rhein-Main / RLP,,
R22,Saarland,,
R23,Stuttgart ve çevresi,,
R24,Stuttgart ve çevresi,,
R25,Stuttgart ve çevresi,,
R26,Stuttgart ve çevresi,,
R27,Stuttgart ve çevresi,,
R28,Stuttgart ve çevresi,,
R29,Stuttgart ve çevresi,,
R30,BW Kuzey/Batı,,
R31,BW Kuzey/Batı,,
R32,BW Kuzey/Batı,,
R33,BW Kuzey/Batı,,
R34,BW Kuzey/Batı,,
R35,BW Güney / Ulm-Freiburg,,
R36,BW Güney / Ulm-Freiburg,,
R37,Bayern,,
R38,Bayern,,
R39,Bayern,,
R40,Bayern,,
R41,Berlin,,
R42,Berlin,,
R43,Hamburg / Lübeck / Kuzey,,
R44,Hamburg / Lübeck / Kuzey,,
R45,Bremen-Hannover-Braunschweig,,
R46,Bremen-Hannover-Braunschweig,,
R47,Bremen-Hannover-Braunschweig,,
R48,Diğer / Kontrol,,
R49,Diğer / Kontrol,,
R50,Fransa / Sınır dışı kontrol,,
